Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aruba,ABW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,7.8142103,7.660065581,7.51350582,7.376388198,7.251861751,7.136872874,6.958558041,6.860247051,6.545098949,6.413051053,6.317023512,6.189335358,6.074300677,5.992383853,5.866554681,5.732654968,5.782499821,5.598735222,5.503228993,5.374606932,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,70.01926618,69.0702826,68.74398883,67.55720073,66.98856364,67.05991767,66.63252732,66.38489849,67.3248357,67.06158134,66.68478479,66.14680207,65.68568673,64.88818104,64.05548194,64.04598605,62.46521461,63.01044544,62.6985711
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,77.07323326,76.64942426,72.75750829,74.01685096,73.86947918,74.79648462,75.49684918,74.42066872,74.36700657,74.11123597,71.80096758,71.74905335,71.41615633,69.56228399,65.94172061,63.81921502,59.26647951,63.60143663,63.81289212,66.47513563,59.75473802,61.8522602,63.07007786,64.34195726,66.18303571,68.38074398,70.89627392,72.73584906,74.05405405,75.73715249,72.80453258,68.58974359,73.19034853,73.43205575,72.77486911,72.83633248,58.09267965,48.61878453,44.20387912
Africa Western and Central,AFW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,40.18349357,40.91863823,40.08864965,39.73228216,39.46504545,40.87673689,41.91274225,43.84716099,46.33501296,48.27794223,50.58009536,48.74794996,49.2690562,49.1612415,48.76594695,49.49679457,49.96350557,50.08155629,50.4251869
Angola,AGO,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,71.9067985,55.19772402,57.09618359,58.70902712,53.72682192,59.87467096,57.20338906,59.41951489,60.58951715,68.30272926,62.74780741,58.75896813,62.46236541,61.48398209,52.21648535,52.56284162,50.83055504,60.78612308,47.32520274,51.40560866,72.97428433,71.75463623,70.56357708,69.22370234,68.07935077,66.82991986,64.04494382,63.15789474,64.76437527,62.47201075,62.56521739,60.56105611,59.87795576,60.82650273,58.92267019,56.95917711,52.69403464,52.0380839,48.79976581
Albania,ALB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,55.97463808,55.21655095,53.5566523,53.55946597,54.30299381,53.7092695,54.66718486,54.99006534,55.27374512,55.78042712,56.41107608,57.25735153,57.49759676,57.03225244,56.44378479,55.14215572,56.24877637,58.34610283,59.19757061,60.15937079,60.10928962,61.94444444,63.42857143,66.29213483,73.12348668,75,73.67088608,72.26666667,70.99447514,71.54471545,71.46666667,71.00271003,70.05494505,70.10869565,69.35933148,68.99441341,68.55524079,67.64705882,66.25386997
Andorra,AND,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,28.54321486,25.57587684,25.38367394,25.42465013,25.70464114,24.97477064,24.42804047,24.74142572,24.93348029,25.40115649,25.03293725,24.61778148,24.90600049,23.72563708,23.95196671,23.91263159,23.5537989,23.7655085,23.07734967
United Arab Emirates,ARE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1.219889036,1.016195176,0.9281651572,0.8006971446,0.7262580538,0.6093006095,0.3260999287,0.422948811,0.4507138352,0.6545584334,0.7460941279,0.9821563233,1.157703087,1.305401811,1.137873256,1.259814807,1.550881611,1.732054049,1.964901424,1.880302985,2.651839179,2.745424293,2.834008097,2.996845426,3.144171779,2.907369844,2.839879154,2.732240437,2.642073779,2.611085662,2.544529262,2.483507955,2.395423668,2.354111406,2.196102691,2.341717259,2.40180842,2.486187845,2.566873818
Argentina,ARG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,82.53947839,84.25903128,84.23632641,85.35770908,84.40680827,84.32266699,83.61699753,84.96823106,83.11439797,82.31711476,81.55547521,81.76057607,80.72014887,80.1765318,80.28235475,79.5921131,78.46873358,76.91359375,76.968569,76.78203903,80,79.16903275,78.74755746,77.85153328,77.37710966,76.47923558,75.14450867,74.22833767,72.94562648,72.87527594,72.34913989,72.03947368,72.66276388,73.95754677,74.040857,73.89538257,74.24242424,74.28363283,73.9446395
